MODEL,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,R_SQUARED,ADJ_R_SQUARED
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000055381],0.0006272168719771729,0.00023596698456135708,2.6580704633028076,0.014365398921384262,**,0.0001378512977808495,0.0011165824461734962,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000055811],0.004358746057040667,0.0004198694886115734,10.381192668831904,6.085154691011261e-10,***,0.0034879900325744885,0.005229502081506844,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000055812],-0.004362238058786069,0.0007260101944601894,-6.008507996267911,4.7775794002018425e-06,***,-0.00586789104810082,-0.0028565850694713176,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000062205],-0.003600048666178274,0.00047073663906694463,-7.647691654751994,1.2365291747969312e-07,***,-0.004576296704014868,-0.0026238006283416794,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000063075],0.0010708670743239423,0.0002218027531149382,4.828015249066899,7.996601985211703e-05,***,0.0006108763182519063,0.0015308578303959782,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000063599],4.4509972866502504e-05,0.00020314516583392296,0.2191042680429358,0.8285888251068103,,-0.0003767873154313673,0.0004658072611643723,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000063769],0.0014847851621338393,0.0002784563478567853,5.332200804764877,2.365898419405019e-05,***,0.0009073020417267374,0.002062268282540941,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000065418],0.0011505123359861471,0.0003319279528968981,3.466150789486277,0.0021951768667660223,***,0.00046213589398875425,0.00183888877798354,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000066985],-0.0028264205727514214,0.0008329886509863418,-3.3931081406747343,0.002613945293381579,***,-0.004553933301901701,-0.0010989078436011413,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000068775],0.0020145593192280944,0.0003147566276594888,6.400371405070119,1.9339717149247373e-06,***,0.0013617940261807853,0.0026673246122754036,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000069051],0.0017796599637838768,0.0003657607257412808,4.86563985287669,7.297936026559948e-05,***,0.001021118645372004,0.0025382012821957498,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000069532],0.0011622523946862185,0.00037759135322053717,3.0780694122711805,0.005499723814103461,***,0.00037917585656871064,0.0019453289328037263,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000074757],0.00015598629078416963,0.0005831036834622877,0.26751038487353007,0.7915681311865846,,-0.0010532967341439026,0.0013652693157122418,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000076639],0.00021599705386503038,0.00048462736989037983,0.44569718361942245,0.6601712327942679,,-0.0007890585965197906,0.0012210527042498514,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079062],-0.005392318352988084,0.0013726577792511846,-3.928377804356825,0.0007181082620527926,***,-0.008239036352826065,-0.0025456003531501036,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079196],0.007278505471120829,0.0004240480425201058,17.164341634181053,3.168841785807847e-14,***,0.006399083656240961,0.008157927286000698,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079198],-0.00800980043965626,0.0012960077750150977,-6.180364496318667,3.2062478937044704e-06,***,-0.010697556060054292,-0.0053220448192582296,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079909],0.0011283181783798384,0.0005600392459019191,2.0147126949339604,0.05631799314184322,*,-3.3132130665431336e-05,0.0022897684874251083,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000080443],0.0005664525705093128,0.0005490075256671677,1.0317756023853142,0.31338729559163675,,-0.0005721193510484543,0.0017050244920670799,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000080471],-0.013655950975288067,0.001250729307231443,-10.918390491317624,2.3843800175801087e-10,***,-0.016249804800793615,-0.011062097149782518,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000087815],-0.0009830407031679199,0.00014430230358905083,-6.812370133518157,7.625636728449677e-07,***,-0.0012823053642177628,-0.0006837760421180769,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
