PAIR,CHANNEL_1,CHANNEL_2,SHOCK,HORIZON_MONTHS,MODEL_VARIANT,N_OBSERVATIONS,N_ETFS,N_DATES,INFERENCE_CLASS,FOCAL_CHANNEL,CONDITIONAL_ON,FOCAL_REGRESSOR,COVARIANCE_METHOD,DK_BANDWIDTH,CONDITION_NUMBER,PAIRWISE_ARCH_CORRELATION,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,HOLM_P_WITHIN_PROFILE,BH_Q_WITHIN_PROFILE
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,12,PRIMARY_ALIGNED,809,13,180,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,SHOCK_A2,DK_H12,12,13.53322185312482,0.8339514090521493,RELIABLE_ESTIMATE,0.004263255425739477,0.02669353411920502,0.1597111647600166,0.8732886797460879,-0.048411240500120564,0.05693775135159952,1.0,0.8732886797460879
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,0,PRIMARY_ALIGNED,883,11,192,MAIN_INFERENCE_ELIGIBLE,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,TRIPLE_A1,DATE_CLUSTERED,0,71.58840716600164,0.5772674029737415,RELIABLE_ESTIMATE,-0.00429589199145482,0.0017433665702290561,-2.4641358075888733,0.014618596983863833,-0.007734616285462462,-0.0008571676974471775,0.19004176079022983,0.13993473959657582
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,0,PRIMARY_ALIGNED,883,11,192,MAIN_INFERENCE_ELIGIBLE,PORTFOLIO_CONCENTRATION_FINAL,EXTERNAL_FINANCING_DEPENDENCE,TRIPLE_A2,DATE_CLUSTERED,0,71.58840716600164,0.5772674029737415,RELIABLE_ESTIMATE,-0.00785042136993762,0.0026577143963816443,-2.953824301296485,0.0035330889507595993,-0.013092661996457521,-0.0026081807434177196,0.04239706740911519,0.022965078179937395
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,3,PRIMARY_ALIGNED,850,11,189,MAIN_INFERENCE_ELIGIBLE,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,TRIPLE_A1,DK_H3,3,71.80233709319216,0.5778937078588277,RELIABLE_ESTIMATE,-0.0031511012855961027,0.007926583967338927,-0.39753584880700815,0.6914233525379061,-0.018787577755993358,0.012485375184801153,1.0,0.9048197586222729
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,3,PRIMARY_ALIGNED,850,11,189,MAIN_INFERENCE_ELIGIBLE,PORTFOLIO_CONCENTRATION_FINAL,EXTERNAL_FINANCING_DEPENDENCE,TRIPLE_A2,DK_H3,3,71.80233709319216,0.5778937078588277,RELIABLE_ESTIMATE,-0.014786024775624336,0.008545535919329935,-1.730263018633912,0.08522430485650587,-0.031643484670090836,0.0020714351188421635,0.40619322461157953,0.11079159631345763
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,6,PRIMARY_ALIGNED,817,11,186,MAIN_INFERENCE_ELIGIBLE,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,TRIPLE_A1,DK_H6,6,71.72411695835957,0.5786099704377102,RELIABLE_ESTIMATE,-0.001633872977631126,0.013645275407608091,-0.1197390986128532,0.9048197586222729,-0.028554226737071767,0.025286480781809513,1.0,0.9048197586222729
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,6,PRIMARY_ALIGNED,817,11,186,MAIN_INFERENCE_ELIGIBLE,PORTFOLIO_CONCENTRATION_FINAL,EXTERNAL_FINANCING_DEPENDENCE,TRIPLE_A2,DK_H6,6,71.72411695835957,0.5786099704377102,RELIABLE_ESTIMATE,-0.02580931849327147,0.010416630527479615,-2.4777031714031845,0.014119842726515603,-0.04635997580171896,-0.00525866118482398,0.14119842726515602,0.037683910363374
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,9,PRIMARY_ALIGNED,784,11,183,MAIN_INFERENCE_ELIGIBLE,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,TRIPLE_A1,DK_H9,9,69.73738872181461,0.579434159285176,RELIABLE_ESTIMATE,-0.017531044559730164,0.010716100484165417,-1.6359537301497695,0.10357744044192087,-0.03867481179616851,0.0036127226767081813,0.9321969639772878,0.26930134514899423
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,9,PRIMARY_ALIGNED,784,11,183,MAIN_INFERENCE_ELIGIBLE,PORTFOLIO_CONCENTRATION_FINAL,EXTERNAL_FINANCING_DEPENDENCE,TRIPLE_A2,DK_H9,9,69.73738872181461,0.579434159285176,RELIABLE_ESTIMATE,-0.022836881174199186,0.013025282415778742,-1.753273399011659,0.0812386449223159,-0.04853685851157555,0.0028630961631771756,0.40619322461157953,0.11079159631345763
FINANCING_VS_CONCENTRATION,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,12,PRIMARY_ALIGNED,751,11,180,MAIN_INFERENCE_ELIGIBLE,EXTERNAL_FINANCING_DEPENDENCE,PORTFOLIO_CONCENTRATION_FINAL,TRIPLE_A1,DK_H12,12,71.45669828120417,0.5803890157601055,RELIABLE_ESTIMATE,-0.028170568743012436,0.015852628013124672,-1.7770283084728615,0.0772618523070811,-0.059452645741978914,0.0031115082559540416,0.772618523070811,0.25110101999801354
